Comment,Designator,Footprint,LCSC
USB_C_Rec._16P,J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
ESP32-C3-WROOM-02,U1,ESP32-C3-WROOM-02,C2934560
100nF,C13,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
10k,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
TSOP38238,U5-O1,Vishay_MINICAST-3Pin,
10uF,C9,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
10uF,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
10k,R11-O1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
10k,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
HF46F-G/5-HS1,K1,RELAY_HF46F_005-HS1,
AMS1117-3.3,U3,SOT-223-3_TabPin2,
10uF,C14,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
10k,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
MCP16331T-E/CH,U5,SOT-23-6_Handsoldering,
To leds,J1,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",
DS18B20,U4-O1,TO-92_Inline,
52.3k,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100nF,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
10uF,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
22 µH,L1,IND_VLS3012HBX-220M,
10k,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
SN74AHCT125DR,U6,SOIC-14_3.9x8.7mm_P1.27mm,
Power,J2,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",
1000uF,C7,CP_Radial_D10.0mm_P5.00mm,
SSA34,D1,D_SMA_Handsoldering,
SSA34,D2,D_SMA_Handsoldering,
1N4148,D5,D_SOD-123,
Button,J3-O1,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,
0.22uF,C11,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
1812L050/60MR,F3,FUSE_1812L200_12DR,
SW_Push-boot,SW1,SW_Push_SPST_NO_Alps_SKRK,
10uF,C15,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100nF,C17,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
PDZVTR5.1B,D4,D_SOD-128,
PDZVTR5.1B,D9,D_SOD-128,
SSA34,D7,D_SMA_Handsoldering,
220k,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
51k,R15,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
PDZVTR5.1B,D6,D_SOD-128,
1N4148,D3,D_SOD-123,
100nF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
10k,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
ACS722xLCTR-10AB,U4,SOIC-8_3.9x4.9mm_P1.27mm,
4.7k,R10-O1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
39k,R16,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100nF,C16,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
10k,R13,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
2N7002,Q1,SOT-23,
100nF,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100R,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
10A,F1,Fuseholder_Littelfuse_Nano2_154x,
1k,R12-O1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
5k1,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
10uF,C10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
10k,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100nF,C12,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
5k1,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
SSA34,D8,D_SMA_Handsoldering,
100R,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100nF,C13-O1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
PDZVTR5.1B,D10,D_SOD-128,
10uF,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
