Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,142.8625,-45.8,180.0,bottom
C2,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,142.8625,-47.8,180.0,bottom
C4,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,147.6625,-78.74,0.0,top
C5,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,151.45,-64.35,90.0,top
C6,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,162.65,-69.1875,90.0,top
C7,1000uF,CP_Radial_D10.0mm_P5.00mm,172.57,-91.7,0.0,top
C8,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,150.67,-70.8375,270.0,bottom
C9,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,148.66,-71.6,-90.0,top
C10,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,142.1525,-58.25,180.0,bottom
C11,0.22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,142.9975,-48.0,0.0,top
C12,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,157.8375,-106.0375,270.0,bottom
C13,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,153.05,-75.1875,90.0,top
C13-O1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,165.6375,-70.4,0.0,bottom
C14,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,165.75,-69.1875,90.0,top
C15,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,153.9,-64.3625,90.0,top
C16,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,176.5625,-82.7,180.0,bottom
C17,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,169.5075,-78.7625,270.0,bottom
D1,SSA34,D_SMA_Handsoldering,158.05,-67.55,90.0,top
D2,SSA34,D_SMA_Handsoldering,164.0,-75.6,-90.0,top
D3,1N4148,D_SOD-123,144.13,-93.44,90.0,bottom
D4,PDZVTR5.1B,D_SOD-128,148.07,-71.0,270.0,bottom
D5,1N4148,D_SOD-123,156.05,-77.85,-90.0,top
D6,PDZVTR5.1B,D_SOD-128,168.5875,-66.52,0.0,bottom
D7,SSA34,D_SMA_Handsoldering,151.2,-66.0,180.0,bottom
D8,SSA34,D_SMA_Handsoldering,156.1,-50.2,180.0,bottom
D9,PDZVTR5.1B,D_SOD-128,142.1,-99.0,0.0,bottom
D10,PDZVTR5.1B,D_SOD-128,149.9,-105.9,180.0,bottom
F1,10A,Fuseholder_Littelfuse_Nano2_154x,165.9375,-93.815,90.0,bottom
F3,1812L050/60MR,FUSE_1812L200_12DR,165.3,-84.015,90.0,top
J1,To leds,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",150.2175,-102.4,0.0,top
J2,Power,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",168.4775,-102.4,0.0,top
J3,USB_C_Rec._16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,174.49,-53.8,90.0,top
J3-O1,Button,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,170.55,-73.1,90.0,top
K1,HF46F-G/5-HS1,RELAY_HF46F_005-HS1,151.03,-92.68,0.0,top
L1,22 µH,IND_VLS3012HBX-220M,153.05,-68.05,90.0,top
Q1,2N7002,SOT-23,146.0,-89.2,0.0,bottom
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,142.98,-50.19,0.0,top
R2,5k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,175.54,-55.05,0.0,bottom
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,142.81,-56.6,-90.0,top
R4,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,146.82,-96.84,270.0,bottom
R5,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,149.12,-96.83,90.0,bottom
R6,52.3k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,158.22,-80.52,-90.0,top
R7,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,140.61,-56.6,-90.0,top
R8,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,168.0,-52.9,90.0,bottom
R9,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,149.1,-89.2,270.0,bottom
R10,5k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,175.58,-52.52,0.0,bottom
R10-O1,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,140.3,-85.5,0.0,bottom
R11,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,161.35,-81.35,0.0,top
R11-O1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,169.8,-66.9,180.0,top
R12,220k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,175.5,-87.6,90.0,bottom
R12-O1,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,168.1,-73.4,270.0,bottom
R13,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,176.525,-84.8,180.0,bottom
R15,51k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.8375,-78.8,90.0,bottom
R16,39k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,171.7075,-78.8,270.0,bottom
SW1,SW_Push-boot,SW_Push_SPST_NO_Alps_SKRK,140.61,-61.5,90.0,top
U1,ESP32-C3-WROOM-02,ESP32-C3-WROOM-02,155.95,-54.9,0.0,top
U3,AMS1117-3.3,SOT-223-3_TabPin2,142.49,-71.89,180.0,top
U4,ACS722xLCTR-10AB,SOIC-8_3.9x4.9mm_P1.27mm,169.075,-85.205,180.0,bottom
U4-O1,DS18B20,TO-92_Inline,140.0,-83.6,0.0,top
U5,MCP16331T-E/CH,SOT-23-6_Handsoldering,159.35,-74.85,90.0,top
U5-O1,TSOP38238,Vishay_MINICAST-3Pin,174.69,-65.04,90.0,top
U6,SN74AHCT125DR,SOIC-14_3.9x8.7mm_P1.27mm,152.5,-84.215,90.0,top
